2307: Winter's Dream,Joey Curtis,101
Free State of Jones,Gary Ross,139
Mr. Right,Paco Cabezas,95
The Secret Life of Walter Mitty,Ben Stiller,114
Dope,Rick Famuyiwa,103
Underworld Awakening,Måns Mårlind,88
Antichrist,Lars von Trier,108
Friday the 13th,Marcus Nispel,97
Taken 3,Olivier Megaton,109
Total Recall,Len Wiseman,118
X-Men: The Last Stand,Brett Ratner,104
The Escort,Will Slocombe,88
The Whole Truth,Courtney Hunt,93
Night at the Museum: Secret of the Tomb,Shawn Levy,98
Love & Other Drugs,Edward Zwick,112
The Interview,Evan Goldberg,112
The Host,Bong Joon Ho,120
Megan Is Missing,Michael Goi,85
WALL·E,Andrew Stanton,98
Knocked Up,Judd Apatow,129
Source Code,Duncan Jones,93
Lawless,John Hillcoat,116
Unfriended,Levan Gabriadze,83
American Reunion,Jon Hurwitz,113
The Pursuit of Happyness,Gabriele Muccino,117
Relatos salvajes,Damián Szifron,122
The Ridiculous 6,Frank Coraci,119
Frantz,François Ozon,113
Viral,Henry Joost,85
Gran Torino,Clint Eastwood,116
Burnt,John Wells,101
Tall Men,Jonathan Holbrook,133
Sleeping Beauty,Julia Leigh,101
Vampire Academy,Mark Waters,104
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,116
Solace,Afonso Poyart,101
Insidious,James Wan,103
Popstar: Never Stop Never Stopping,Akiva Schaffer,87
The Levelling,Hope Dickson Leach,83
Public Enemies,Michael Mann,140
Boyhood,Richard Linklater,165
Teenage Mutant Ninja Turtles,Jonathan Liebesman,101
Eastern Promises,David Cronenberg,100
The Daughter,Simon Stone,96
Pineapple Express,David Gordon Green,111
The First Time,Jon Kasdan,95
Gone Baby Gone,Ben Affleck,114
The Heat,Paul Feig,117
L'avenir,Mia Hansen-Løve,102
Anna Karenina,Joe Wright,129
Regression,Alejandro Amenábar,106
Ted 2,Seth MacFarlane,115
Pain & Gain,Michael Bay,129
Blood Diamond,Edward Zwick,143
Devil's Knot,Atom Egoyan,114
Child 44,Daniel Espinosa,137
The Hurt Locker,Kathryn Bigelow,131
Green Lantern,Martin Campbell,114
War on Everyone,John Michael McDonagh,98
The Mist,Frank Darabont,126
Escape Plan,Mikael Håfström,115
"Love, Rosie",Christian Ditter,102
The DUFF,Ari Sandel,101
The Age of Shadows,Jee-woon Kim,140
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,123
We Need to Talk About Kevin,Lynne Ramsay,112
Love & Friendship,Whit Stillman,90
The Mortal Instruments: City of Bones,Harald Zwart,130
Seven Pounds,Gabriele Muccino,123
The King's Speech,Tom Hooper,118
Hunger,Steve McQueen,96
Jumper,Doug Liman,88
Toy Story 3,Lee Unkrich,103
Tinker Tailor Soldier Spy,Tomas Alfredson,122
Resident Evil: Retribution,Paul W.S. Anderson,96
Dear Zindagi,Gauri Shinde,151
Genius,Michael Grandage,104
Pompeii,Paul W.S. Anderson,105
Life of Pi,Ang Lee,127
Hachi: A Dog's Tale,Lasse Hallström,93
10 Years,Jamie Linden,100
I Origins,Mike Cahill,106
Live Free or Die Hard,Len Wiseman,128
The Matchbreaker,Caleb Vetter,94
Funny Games,Michael Haneke,111
Ted,Seth MacFarlane,106
RED,Robert Schwentke,111
Australia,Baz Luhrmann,165
Faster,George Tillman Jr.,98
The Neighbor,Marcus Dunstan,87
The Adjustment Bureau,George Nolfi,106
The Hollars,John Krasinski,88
The Judge,David Dobkin,141
Closed Circuit,John Crowley,96
Transformers: Revenge of the Fallen,Michael Bay,150
La tortue rouge,Michael Dudok de Wit,80
The Book of Life,Jorge R. Gutiérrez,95
Incendies,Denis Villeneuve,131
The Heartbreak Kid,Bobby Farrelly,116
Happy Feet,George Miller,108
Entourage,Doug Ellin,104
The Strangers,Bryan Bertino,86
Noah,Darren Aronofsky,138
Neighbors,Nicholas Stoller,97
Nymphomaniac: Vol. II,Lars von Trier,123
Wild,Jean-Marc Vallée,115
Grown Ups,Dennis Dugan,102
Blair Witch,Adam Wingard,89
The Karate Kid,Harald Zwart,140
Dark Shadows,Tim Burton,113
Friends with Benefits,Will Gluck,109
The Illusionist,Neil Burger,110
The A-Team,Joe Carnahan,117
The Guest,Adam Wingard,100
The Internship,Shawn Levy,119
Paul,Greg Mottola,104
This Beautiful Fantastic,Simon Aboud,100
The Da Vinci Code,Ron Howard,149
Mr. Church,Bruce Beresford,104
Hugo,Martin Scorsese,126
The Blackcoat's Daughter,Oz Perkins,93
Body of Lies,Ridley Scott,128
Knight of Cups,Terrence Malick,118
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,112
The Boss,Ben Falcone,99
Hands of Stone,Jonathan Jakubowicz,111
El secreto de sus ojos,Juan José Campanella,129
True Grit,Ethan Coen,110
We Are Your Friends,Max Joseph,96
A Million Ways to Die in the West,Seth MacFarlane,116
